OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,OrderValue,OrderStatus,IsBlackFriday
22001,2024-10-01,C0053,P0037,1,20.39,0.0,20.39,Completed,No
22002,2024-10-01,C0378,P0040,1,58.0,0.0,58.0,Completed,No
22003,2024-10-01,C0277,P0023,4,29.77,0.0,119.08,Completed,No
22004,2024-10-01,C0058,P0002,1,15.15,0.0,15.15,Completed,No
22005,2024-10-01,C0227,P0028,1,31.59,0.0,31.59,Completed,No
22006,2024-10-01,C0185,P0018,1,19.56,0.0,19.56,Completed,No
22007,2024-10-01,C0308,P0032,1,64.2,0.0,64.2,Completed,No
22008,2024-10-01,C0110,P0005,2,69.24,0.0,138.48,Completed,No
22009,2024-10-01,C0447,P0017,2,48.42,0.0,96.84,Completed,No
22010,2024-10-01,C0319,P0004,2,31.47,0.0,62.94,Completed,No
22011,2024-10-01,C0199,P0019,1,69.05,0.0,69.05,Completed,No
22012,2024-10-01,C0035,P0001,2,51.14,0.0,102.28,Completed,No
22013,2024-10-01,C0128,P0007,1,12.45,0.0,12.45,Completed,No
22014,2024-10-01,C0261,P0037,3,66.14,0.0,198.42,Completed,No
22015,2024-10-01,C0365,P0004,1,50.96,0.0,50.96,Completed,No
22016,2024-10-01,C0346,P0012,1,61.86,0.0,61.86,Completed,No
22017,2024-10-01,C0138,P0037,1,78.39,0.0,78.39,Completed,No
22018,2024-10-01,C0071,P0030,2,63.63,0.0,127.26,Completed,No
22019,2024-10-01,C0061,P0003,2,69.81,0.0,139.62,Completed,No
22020,2024-10-01,C0215,P0037,1,32.53,0.0,32.53,Completed,No
22021,2024-10-01,C0338,P0020,1,45.49,0.0,45.49,Completed,No
22022,2024-10-01,C0343,P0038,1,75.29,0.0,75.29,Completed,No
22023,2024-10-01,C0405,P0037,1,20.79,0.0,20.79,Completed,No
22024,2024-10-01,C0129,P0028,1,52.24,0.0,52.24,Completed,No
22025,2024-10-01,C0307,P0005,1,67.29,0.0,67.29,Completed,No
22026,2024-10-01,C0319,P0020,3,39.33,0.0,117.99,Completed,No
22027,2024-10-01,C0347,P0005,1,54.25,0.0,54.25,Completed,No
22028,2024-10-01,C0144,P0021,2,72.25,0.0,144.5,Completed,No
22029,2024-10-01,C0303,P0017,1,31.18,0.0,31.18,Completed,No
22030,2024-10-01,C0330,P0026,1,45.08,0.0,45.08,Completed,No
22031,2024-10-01,C0179,P0028,2,62.95,0.0,125.9,Completed,No
22032,2024-10-02,C0387,P0019,1,75.0,0.0,75.0,Completed,No
22033,2024-10-02,C0211,P0040,1,60.25,0.0,60.25,Completed,No
22034,2024-10-02,C0114,P0014,2,36.62,0.0,73.24,Completed,No
22035,2024-10-02,C0317,P0025,2,21.95,0.0,43.9,Completed,No
22036,2024-10-02,C0363,P0023,1,62.9,0.0,62.9,Completed,No
22037,2024-10-02,C0162,P0032,1,50.91,0.0,50.91,Completed,No
22038,2024-10-02,C0200,P0027,1,65.08,0.0,65.08,Completed,No
22039,2024-10-02,C0061,P0026,1,57.51,0.0,57.51,Completed,No
22040,2024-10-02,C0013,P0011,1,79.32,0.0,79.32,Completed,No
22041,2024-10-02,C0005,P0010,1,58.11,0.0,58.11,Completed,No
22042,2024-10-02,C0392,P0034,1,54.09,0.0,54.09,Completed,No
22043,2024-10-02,C0172,P0040,1,55.2,0.0,55.2,Completed,No
22044,2024-10-02,C0346,P0014,1,51.41,0.0,51.41,Completed,No
22045,2024-10-02,C0244,P0037,1,33.88,0.0,33.88,Completed,No
22046,2024-10-02,C0115,P0006,1,79.44,0.0,79.44,Completed,No
22047,2024-10-02,C0021,P0036,1,74.85,0.0,74.85,Completed,No
22048,2024-10-02,C0038,P0035,2,13.71,0.0,27.42,Completed,No
22049,2024-10-02,C0384,P0030,1,78.11,0.0,78.11,Completed,No
22050,2024-10-02,C0407,P0032,2,46.06,0.0,92.12,Completed,No
22051,2024-10-02,C0474,P0029,1,53.76,0.0,53.76,Completed,No
22052,2024-10-02,C0453,P0031,3,47.65,0.0,142.95,Completed,No
22053,2024-10-02,C0125,P0002,2,64.48,0.0,128.96,Completed,No
22054,2024-10-02,C0488,P0031,1,43.94,0.0,43.94,Completed,No
22055,2024-10-02,C0224,P0009,1,25.61,0.0,25.61,Completed,No
22056,2024-10-02,C0373,P0026,2,32.16,0.0,64.32,Completed,No
22057,2024-10-02,C0377,P0008,1,65.41,0.0,65.41,Completed,No
22058,2024-10-02,C0457,P0032,1,21.35,0.0,21.35,Completed,No
22059,2024-10-02,C0259,P0023,1,49.63,0.0,49.63,Completed,No
22060,2024-10-03,C0373,P0011,3,73.41,0.0,220.23,Completed,No
22061,2024-10-03,C0403,P0035,2,53.37,0.0,106.74,Completed,No
22062,2024-10-03,C0440,P0039,1,78.51,0.0,78.51,Completed,No
22063,2024-10-03,C0330,P0034,4,28.72,0.0,114.88,Completed,No
22064,2024-10-03,C0162,P0016,1,22.9,0.0,22.9,Completed,No
22065,2024-10-03,C0404,P0015,1,13.3,0.0,13.3,Completed,No
22066,2024-10-03,C0388,P0028,1,46.26,0.0,46.26,Completed,No
22067,2024-10-03,C0206,P0016,2,27.66,0.0,55.32,Completed,No
22068,2024-10-03,C0460,P0025,3,36.11,0.0,108.33,Completed,No
22069,2024-10-03,C0148,P0026,2,45.09,0.0,90.18,Completed,No
22070,2024-10-03,C0470,P0005,1,73.75,0.0,73.75,Completed,No
22071,2024-10-03,C0126,P0006,1,53.84,0.0,53.84,Completed,No
22072,2024-10-03,C0287,P0015,1,45.29,0.0,45.29,Completed,No
22073,2024-10-03,C0277,P0007,1,21.37,0.0,21.37,Completed,No
22074,2024-10-03,C0334,P0034,1,44.72,0.0,44.72,Completed,No
22075,2024-10-03,C0347,P0036,1,18.51,0.0,18.51,Completed,No
22076,2024-10-03,C0311,P0009,2,30.32,0.0,60.64,Completed,No
22077,2024-10-03,C0170,P0034,1,28.04,0.0,28.04,Completed,No
22078,2024-10-03,C0237,P0021,1,31.71,0.0,31.71,Completed,No
22079,2024-10-03,C0359,P0011,3,15.71,0.0,47.13,Completed,No
22080,2024-10-03,C0194,P0022,4,46.29,0.0,185.16,Completed,No
22081,2024-10-03,C0178,P0015,1,31.46,0.0,31.46,Completed,No
22082,2024-10-03,C0423,P0001,1,43.54,0.0,43.54,Completed,No
22083,2024-10-03,C0444,P0025,1,47.35,0.0,47.35,Completed,No
22084,2024-10-04,C0145,P0021,1,40.55,0.0,40.55,Completed,No
22085,2024-10-04,C0038,P0001,2,11.76,0.0,23.52,Completed,No
22086,2024-10-04,C0409,P0011,4,12.7,0.0,50.8,Completed,No
22087,2024-10-04,C0112,P0032,2,59.38,0.0,118.76,Completed,No
22088,2024-10-04,C0144,P0026,1,65.45,0.0,65.45,Completed,No
22089,2024-10-04,C0250,P0025,1,62.57,0.0,62.57,Completed,No
22090,2024-10-04,C0483,P0040,1,37.97,0.0,37.97,Completed,No
22091,2024-10-04,C0315,P0018,1,47.49,0.0,47.49,Completed,No
22092,2024-10-04,C0251,P0011,1,38.99,0.0,38.99,Completed,No
22093,2024-10-04,C0441,P0038,1,67.3,0.0,67.3,Completed,No
22094,2024-10-04,C0206,P0016,4,29.49,0.0,117.96,Completed,No
22095,2024-10-04,C0160,P0034,1,62.44,0.0,62.44,Completed,No
22096,2024-10-04,C0485,P0024,1,48.97,0.0,48.97,Completed,No
22097,2024-10-04,C0077,P0006,2,73.42,0.0,146.84,Completed,No
22098,2024-10-04,C0137,P0021,1,46.37,0.0,46.37,Completed,No
